Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
A,,,2019-03-29 05:39:13,2019-03-29 05:39:21,8.656s,PASSED
,,,,,,
Test Cases/ListUsersTests,,,2019-03-29 05:39:13,2019-03-29 05:39:18,5.020s,PASSED
"sendRequest(findTestObject(""UserRestService/ListUsers""))",,,2019-03-29 05:39:13,2019-03-29 05:39:17,3.435s,PASSED
"response = sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2019-03-29 05:39:17,2019-03-29 05:39:18,1.246s,PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Charles"")",,,2019-03-29 05:39:18,2019-03-29 05:39:18,0.034s,PASSED
"verifyElementPropertyValue(response, ""data[2].id"", 6)",,,2019-03-29 05:39:18,2019-03-29 05:39:18,0.014s,PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2019-03-29 05:39:18,2019-03-29 05:39:21,3.279s,PASSED
"sendRequest(findTestObject(""CalculatorSoapService/Addition""))",,,2019-03-29 05:39:18,2019-03-29 05:39:20,1.651s,PASSED
"response = sendRequestAndVerify(findTestObject(""CalculatorSoapService/Addition""))",,,2019-03-29 05:39:20,2019-03-29 05:39:21,1.224s,PASSED
"verifyElementPropertyValue(response, ""AddResponse.AddResult"", 6)",,,2019-03-29 05:39:21,2019-03-29 05:39:21,0.300s,PASSED
